case_id,county_code,county,case_status,open_date
C00042,002,Durham,ACTIVE,2025-06-02
C00043,003,Orange,ACTIVE,2024-03-21
C00044,004,Johnston,ACTIVE,2023-11-09
C00045,005,Chatham,ACTIVE,2025-08-01
C00046,006,Alamance,ACTIVE,2023-05-13
C00047,007,Cumberland,ACTIVE,2025-10-26
C00048,008,Guilford,ACTIVE,2024-11-16
C00049,001,Wake,ACTIVE,2024-05-09
C00050,002,Durham,ACTIVE,2025-12-11
C00051,003,Orange,ACTIVE,2025-09-01
C00052,004,Johnston,ACTIVE,2026-02-08
C00053,005,Chatham,ACTIVE,2024-03-25
C00054,006,Alamance,ACTIVE,2026-02-22
C00055,007,Cumberland,ACTIVE,2025-11-02
C00056,008,Guilford,ACTIVE,2024-06-18
C00057,001,Wake,ACTIVE,2023-03-04
C00058,002,Durham,ACTIVE,2025-03-01
C00059,003,Orange,ACTIVE,2025-06-02
C00060,004,Johnston,ACTIVE,2025-11-21
C00061,005,Chatham,ACTIVE,2026-03-23
C00062,006,Alamance,ACTIVE,2025-12-25
C00063,007,Cumberland,ACTIVE,2024-04-18
C00064,008,Guilford,ACTIVE,2024-05-03
C00065,001,Wake,ACTIVE,2024-10-08
C00066,002,Durham,ACTIVE,2023-09-04
C00067,003,Orange,ACTIVE,2025-07-06
C00068,004,Johnston,ACTIVE,2025-12-07
C00069,005,Chatham,ACTIVE,2025-12-06
C00070,006,Alamance,ACTIVE,2024-04-02
C00071,007,Cumberland,ACTIVE,2024-10-31
C00072,008,Guilford,ACTIVE,2024-08-14
C00073,001,Wake,ACTIVE,2024-04-05
C00074,002,Durham,ACTIVE,2024-01-17
C00075,003,Orange,ACTIVE,2023-10-07
C00076,004,Johnston,ACTIVE,2023-10-10
C00077,005,Chatham,ACTIVE,2024-07-24
C00078,006,Alamance,ACTIVE,2024-08-01
C00079,007,Cumberland,ACTIVE,2023-09-23
C00080,008,Guilford,ACTIVE,2023-03-19
C00081,001,Wake,ACTIVE,2024-07-29
C00082,002,Durham,ACTIVE,2024-05-22
C00083,003,Orange,ACTIVE,2024-04-28
C00084,004,Johnston,ACTIVE,2024-11-14
C00085,005,Chatham,ACTIVE,2023-05-17
C00086,006,Alamance,ACTIVE,2025-09-23
C00087,007,Cumberland,ACTIVE,2026-01-24
C00088,008,Guilford,ACTIVE,2025-08-05
C00089,001,Wake,ACTIVE,2024-10-02
C00090,002,Durham,ACTIVE,2024-10-28
C00091,003,Orange,ACTIVE,2023-11-29
C00092,004,Johnston,ACTIVE,2025-09-25
C00093,005,Chatham,ACTIVE,2023-05-01
C00094,006,Alamance,ACTIVE,2025-11-29
C00095,007,Cumberland,ACTIVE,2025-11-16
C00096,008,Guilford,ACTIVE,2025-11-28
C00097,001,Wake,ACTIVE,2026-01-01
C00098,002,Durham,ACTIVE,2025-12-19
C00099,003,Orange,ACTIVE,2023-08-06
C00100,004,Johnston,ACTIVE,2023-03-02
C00101,005,Chatham,ACTIVE,2025-01-28
C00102,006,Alamance,ACTIVE,2023-04-09
C00103,007,Cumberland,ACTIVE,2025-01-26
C00104,008,Guilford,ACTIVE,2024-02-23
C00105,001,Wake,ACTIVE,2024-03-31
C00106,002,Durham,ACTIVE,2024-10-31
C00107,003,Orange,ACTIVE,2025-09-17
C00108,004,Johnston,ACTIVE,2024-02-12
C00109,005,Chatham,ACTIVE,2023-08-11
C00110,006,Alamance,ACTIVE,2025-08-29
C00111,007,Cumberland,ACTIVE,2024-05-16
C00112,008,Guilford,ACTIVE,2024-12-22
C00113,001,Wake,ACTIVE,2024-03-29
C00114,002,Durham,ACTIVE,2024-05-03
C00115,003,Orange,ACTIVE,2023-10-02
C00116,004,Johnston,ACTIVE,2024-12-31
C00117,005,Chatham,ACTIVE,2024-12-10
C00118,006,Alamance,ACTIVE,2025-05-01
C00119,007,Cumberland,ACTIVE,2023-11-01
C00120,008,Guilford,ACTIVE,2025-02-21
C00121,001,Wake,ACTIVE,2024-09-20
C00122,002,Durham,ACTIVE,2024-01-12
C00123,003,Orange,ACTIVE,2024-09-13
C00124,004,Johnston,ACTIVE,2023-04-05
C00125,005,Chatham,ACTIVE,2023-01-23
C00126,006,Alamance,ACTIVE,2024-10-08
C00127,007,Cumberland,ACTIVE,2025-05-19
C00128,008,Guilford,ACTIVE,2023-03-23
C00129,001,Wake,ACTIVE,2023-06-29
C00130,002,Durham,ACTIVE,2025-09-02
C00131,003,Orange,ACTIVE,2024-09-04
C00132,004,Johnston,ACTIVE,2023-05-10
C00133,005,Chatham,ACTIVE,2023-12-01
C00134,006,Alamance,ACTIVE,2026-03-02
C00135,007,Cumberland,ACTIVE,2024-11-27
C00136,008,Guilford,ACTIVE,2024-04-04
C00137,001,Wake,ACTIVE,2025-07-11
C00138,002,Durham,ACTIVE,2023-11-30
C00139,003,Orange,ACTIVE,2024-07-26
C00140,004,Johnston,ACTIVE,2023-08-07
C00141,005,Chatham,ACTIVE,2024-07-24
C00142,006,Alamance,ACTIVE,2024-09-13
C00143,007,Cumberland,ACTIVE,2025-01-22
C00144,008,Guilford,ACTIVE,2024-07-18
C00145,001,Wake,ACTIVE,2024-09-15
C00146,002,Durham,ACTIVE,2025-10-21
C00147,003,Orange,ACTIVE,2023-06-10
C00148,004,Johnston,ACTIVE,2024-09-11
C00149,005,Chatham,ACTIVE,2024-09-04
C00150,006,Alamance,ACTIVE,2023-09-02
C00151,007,Cumberland,ACTIVE,2023-01-05
C00152,008,Guilford,ACTIVE,2024-04-24
C00153,001,Wake,ACTIVE,2024-10-13
C00154,002,Durham,ACTIVE,2023-01-01
C00155,003,Orange,ACTIVE,2025-05-16
C00156,004,Johnston,ACTIVE,2023-09-19
C00157,005,Chatham,ACTIVE,2024-01-04
C00158,006,Alamance,ACTIVE,2026-02-02
C00159,007,Cumberland,ACTIVE,2023-01-20
C00160,008,Guilford,ACTIVE,2023-09-18
C00161,001,Wake,ACTIVE,2023-06-20
C00162,002,Durham,ACTIVE,2025-04-19
C00163,003,Orange,ACTIVE,2025-07-28
C00164,004,Johnston,ACTIVE,2025-05-08
C00165,005,Chatham,ACTIVE,2024-09-14
C00166,006,Alamance,ACTIVE,2023-08-13
C00167,007,Cumberland,ACTIVE,2024-12-23
C00168,008,Guilford,ACTIVE,2025-10-29
C00169,001,Wake,ACTIVE,2024-05-22
C00170,002,Durham,ACTIVE,2023-10-09
C00171,003,Orange,ACTIVE,2024-12-11
C00172,004,Johnston,ACTIVE,2024-07-19
C00173,005,Chatham,ACTIVE,2024-11-18
C00174,006,Alamance,ACTIVE,2023-04-20
C00175,007,Cumberland,ACTIVE,2025-10-12
C00176,008,Guilford,ACTIVE,2023-06-06
C00177,001,Wake,ACTIVE,2026-03-02
C00178,002,Durham,ACTIVE,2025-05-01
C00179,003,Orange,ACTIVE,2026-01-20
C00180,004,Johnston,ACTIVE,2023-10-31
C00181,005,Chatham,ACTIVE,2023-10-27
C00182,006,Alamance,ACTIVE,2025-07-25
C00183,007,Cumberland,ACTIVE,2025-01-22
C00184,008,Guilford,ACTIVE,2024-09-20
C00185,001,Wake,ACTIVE,2025-04-17
C00186,002,Durham,ACTIVE,2026-01-13
C00187,003,Orange,ACTIVE,2024-12-19
C00188,004,Johnston,ACTIVE,2023-03-23
C00189,005,Chatham,ACTIVE,2023-09-14
C00190,006,Alamance,ACTIVE,2024-06-26
C00191,007,Cumberland,ACTIVE,2026-03-15
C00192,008,Guilford,ACTIVE,2024-11-05
C00193,001,Wake,ACTIVE,2024-02-08
C00194,002,Durham,ACTIVE,2024-10-10
C00195,003,Orange,ACTIVE,2024-01-01
C00196,004,Johnston,ACTIVE,2026-02-18
C00197,005,Chatham,ACTIVE,2026-04-12
C00198,006,Alamance,ACTIVE,2025-02-16
C00199,007,Cumberland,ACTIVE,2025-02-07
C00200,008,Guilford,ACTIVE,2023-12-11
C00201,001,Wake,ACTIVE,2023-04-28
C00202,002,Durham,ACTIVE,2025-05-28
C00203,003,Orange,ACTIVE,2025-07-08
C00204,004,Johnston,ACTIVE,2023-04-20
C00205,005,Chatham,ACTIVE,2023-12-04
C00206,006,Alamance,ACTIVE,2026-02-18
C00207,007,Cumberland,ACTIVE,2024-06-26
C00208,008,Guilford,ACTIVE,2024-10-25
C00209,001,Wake,ACTIVE,2024-04-14
C00210,002,Durham,ACTIVE,2023-04-03
C00211,003,Orange,ACTIVE,2025-05-26
C00212,004,Johnston,ACTIVE,2025-02-01
C00213,005,Chatham,ACTIVE,2023-01-13
C00214,006,Alamance,ACTIVE,2024-05-01
C00215,007,Cumberland,ACTIVE,2025-01-19
C00216,008,Guilford,ACTIVE,2026-04-12
C00217,001,Wake,ACTIVE,2025-04-18
C00218,002,Durham,ACTIVE,2025-06-15
C00219,003,Orange,ACTIVE,2024-07-17
C00220,004,Johnston,ACTIVE,2023-09-23
C00221,005,Chatham,ACTIVE,2024-11-07
C00222,006,Alamance,ACTIVE,2024-07-17
C00223,007,Cumberland,ACTIVE,2024-07-18
C00224,008,Guilford,ACTIVE,2024-08-14
C00225,001,Wake,ACTIVE,2025-04-03
C00226,002,Durham,ACTIVE,2026-01-02
C00227,003,Orange,ACTIVE,2024-05-28
C00228,004,Johnston,ACTIVE,2025-03-30
C00229,005,Chatham,ACTIVE,2025-11-02
C00230,006,Alamance,ACTIVE,2023-10-23
C00231,007,Cumberland,ACTIVE,2023-08-22
C00232,008,Guilford,ACTIVE,2023-03-26
C00233,001,Wake,ACTIVE,2023-07-08
C00234,002,Durham,ACTIVE,2024-07-08
C00235,003,Orange,ACTIVE,2023-12-18
C00236,004,Johnston,ACTIVE,2023-09-25
C00237,005,Chatham,ACTIVE,2023-12-28
C00238,006,Alamance,ACTIVE,2024-11-07
C00239,007,Cumberland,ACTIVE,2025-04-29
C00240,008,Guilford,ACTIVE,2023-01-16
C00241,001,Wake,ACTIVE,2023-03-18
C00242,002,Durham,ACTIVE,2024-01-16
C00243,003,Orange,ACTIVE,2025-12-21
C00244,004,Johnston,ACTIVE,2025-09-16
C00245,005,Chatham,ACTIVE,2023-07-29
C00246,006,Alamance,ACTIVE,2025-02-18
C00247,007,Cumberland,ACTIVE,2025-04-16
C00248,008,Guilford,ACTIVE,2025-03-30
C00249,001,Wake,ACTIVE,2024-03-28
C00250,002,Durham,ACTIVE,2025-06-14
C00251,003,Orange,ACTIVE,2023-06-28
C00252,004,Johnston,ACTIVE,2023-04-01
C00253,005,Chatham,ACTIVE,2024-11-15
C00254,006,Alamance,ACTIVE,2024-04-10
C00255,007,Cumberland,ACTIVE,2024-12-22
C00256,008,Guilford,ACTIVE,2023-04-02
C00257,001,Wake,ACTIVE,2023-05-22
C00258,002,Durham,ACTIVE,2025-05-31
C00259,003,Orange,ACTIVE,2024-05-02
C00260,004,Johnston,ACTIVE,2023-05-21
C00261,005,Chatham,ACTIVE,2024-06-09
C00262,006,Alamance,ACTIVE,2024-07-06
C00263,007,Cumberland,ACTIVE,2024-03-30
C00264,008,Guilford,ACTIVE,2024-06-11
C00265,001,Wake,ACTIVE,2023-10-09
C00266,002,Durham,ACTIVE,2025-04-27
C00267,003,Orange,ACTIVE,2024-09-18
C00268,004,Johnston,ACTIVE,2025-02-12
C00269,005,Chatham,ACTIVE,2023-06-27
C00270,006,Alamance,ACTIVE,2023-03-13
C00271,007,Cumberland,ACTIVE,2025-03-27
C00272,008,Guilford,ACTIVE,2025-01-16
C00273,001,Wake,ACTIVE,2024-07-22
C00274,002,Durham,ACTIVE,2023-03-14
C00275,003,Orange,ACTIVE,2025-08-30
C00276,004,Johnston,ACTIVE,2025-12-18
C00277,005,Chatham,ACTIVE,2025-06-11
C00278,006,Alamance,ACTIVE,2024-11-22
C00279,007,Cumberland,ACTIVE,2023-11-17
C00280,008,Guilford,ACTIVE,2025-01-27
C00281,001,Wake,ACTIVE,2025-10-21
C00282,002,Durham,ACTIVE,2024-09-12
C00283,003,Orange,ACTIVE,2024-01-21
C00284,004,Johnston,ACTIVE,2023-08-23
C00285,005,Chatham,ACTIVE,2023-02-19
C00286,006,Alamance,ACTIVE,2023-04-26
C00287,007,Cumberland,ACTIVE,2023-08-15
C00288,008,Guilford,ACTIVE,2025-09-17
C00289,001,Wake,ACTIVE,2023-03-09
C00290,002,Durham,ACTIVE,2024-08-18
C00291,003,Orange,ACTIVE,2025-11-28
C00292,004,Johnston,ACTIVE,2025-12-15
C00293,005,Chatham,ACTIVE,2024-05-01
C00294,006,Alamance,ACTIVE,2025-12-14
C00295,007,Cumberland,ACTIVE,2025-12-20
C00296,008,Guilford,ACTIVE,2025-02-08
C00297,001,Wake,ACTIVE,2025-05-17
C00298,002,Durham,ACTIVE,2024-01-21
C00299,003,Orange,ACTIVE,2024-06-10
C00300,004,Johnston,ACTIVE,2023-07-20
C00301,005,Chatham,ACTIVE,2023-05-17
C00302,006,Alamance,ACTIVE,2023-10-21
C00303,007,Cumberland,ACTIVE,2025-03-09
C00304,008,Guilford,ACTIVE,2023-09-10
C00305,001,Wake,ACTIVE,2025-10-31
C00306,002,Durham,ACTIVE,2024-07-05
C00307,003,Orange,ACTIVE,2023-09-02
C00308,004,Johnston,ACTIVE,2026-01-20
C00309,005,Chatham,ACTIVE,2023-11-12
C00310,006,Alamance,ACTIVE,2025-07-23
C00311,007,Cumberland,ACTIVE,2025-08-28
C00312,008,Guilford,ACTIVE,2023-02-07
C00313,001,Wake,ACTIVE,2023-05-24
C00314,002,Durham,ACTIVE,2025-08-29
C00315,003,Orange,ACTIVE,2025-09-05
C00316,004,Johnston,ACTIVE,2025-01-13
C00317,005,Chatham,ACTIVE,2024-05-30
C00318,006,Alamance,ACTIVE,2024-06-18
C00319,007,Cumberland,ACTIVE,2023-06-29
C00320,008,Guilford,ACTIVE,2023-11-21
C00321,001,Wake,ACTIVE,2023-10-31
C00322,002,Durham,ACTIVE,2024-06-25
C00323,003,Orange,ACTIVE,2025-07-21
C00324,004,Johnston,ACTIVE,2024-12-04
C00325,005,Chatham,ACTIVE,2025-02-22
C00326,006,Alamance,ACTIVE,2023-11-27
C00327,007,Cumberland,ACTIVE,2023-09-04
C00328,008,Guilford,ACTIVE,2023-03-23
C00329,001,Wake,ACTIVE,2025-09-29
C00330,002,Durham,ACTIVE,2025-04-12
C00331,003,Orange,ACTIVE,2023-04-21
C00332,004,Johnston,ACTIVE,2025-01-29
C00333,005,Chatham,ACTIVE,2025-06-19
C00334,006,Alamance,ACTIVE,2023-11-30
C00335,007,Cumberland,ACTIVE,2023-10-25
C00336,008,Guilford,ACTIVE,2023-01-14
C00337,001,Wake,ACTIVE,2023-02-17
C00338,002,Durham,ACTIVE,2026-03-08
C00339,003,Orange,ACTIVE,2024-04-24
C00340,004,Johnston,ACTIVE,2024-08-04
C00341,005,Chatham,ACTIVE,2026-02-06
C00342,006,Alamance,ACTIVE,2023-08-10
C00343,007,Cumberland,ACTIVE,2023-04-20
C00344,008,Guilford,ACTIVE,2023-07-01
C00345,001,Wake,ACTIVE,2023-08-11
C00346,002,Durham,ACTIVE,2023-10-26
C00347,003,Orange,ACTIVE,2025-08-17
C00348,004,Johnston,ACTIVE,2025-01-11
C00349,005,Chatham,ACTIVE,2023-08-17
C00350,006,Alamance,ACTIVE,2025-11-15
C00351,007,Cumberland,ACTIVE,2023-10-29
C00352,008,Guilford,ACTIVE,2023-02-10
C00353,001,Wake,ACTIVE,2023-11-04
C00354,002,Durham,ACTIVE,2025-02-28
C00355,003,Orange,ACTIVE,2024-06-02
C00356,004,Johnston,ACTIVE,2023-10-01
C00357,005,Chatham,ACTIVE,2025-09-15
C00358,006,Alamance,ACTIVE,2023-08-02
C00359,007,Cumberland,ACTIVE,2024-04-20
C00360,008,Guilford,ACTIVE,2023-05-26
C00361,001,Wake,CLOSED,2025-05-21
C00362,002,Durham,CLOSED,2024-11-07
C00363,003,Orange,CLOSED,2024-10-21
C00364,004,Johnston,CLOSED,2024-09-02
C00365,005,Chatham,CLOSED,2026-03-29
C00366,006,Alamance,CLOSED,2025-09-19
C00367,007,Cumberland,CLOSED,2024-05-30
C00368,008,Guilford,CLOSED,2024-05-29
C00369,001,Wake,CLOSED,2025-11-03
C00370,002,Durham,CLOSED,2026-01-28
C00371,003,Orange,CLOSED,2025-09-07
C00372,004,Johnston,CLOSED,2024-02-18
C00373,005,Chatham,CLOSED,2023-04-26
C00374,006,Alamance,CLOSED,2023-02-19
C00375,007,Cumberland,CLOSED,2024-09-20
C00376,008,Guilford,CLOSED,2024-01-02
C00377,001,Wake,CLOSED,2025-07-20
C00378,002,Durham,CLOSED,2023-03-31
C00379,003,Orange,CLOSED,2025-05-22
C00380,004,Johnston,CLOSED,2023-01-10
C00381,005,Chatham,CLOSED,2023-10-04
C00382,006,Alamance,CLOSED,2025-11-20
C00383,007,Cumberland,CLOSED,2024-06-14
C00384,008,Guilford,CLOSED,2025-04-30
C00385,001,Wake,CLOSED,2026-04-04
C00386,002,Durham,CLOSED,2025-07-28
C00387,003,Orange,CLOSED,2023-09-02
C00388,004,Johnston,CLOSED,2026-03-02
C00389,005,Chatham,CLOSED,2023-04-30
C00390,006,Alamance,CLOSED,2024-10-18
C00391,007,Cumberland,CLOSED,2026-02-13
C00392,008,Guilford,CLOSED,2026-03-19
C00393,001,Wake,CLOSED,2023-05-15
C00394,002,Durham,CLOSED,2023-04-06
C00395,003,Orange,CLOSED,2025-12-03
C00396,004,Johnston,CLOSED,2025-05-29
C00397,005,Chatham,CLOSED,2023-05-24
C00398,006,Alamance,CLOSED,2025-02-15
C00399,007,Cumberland,CLOSED,2024-09-12
C00400,008,Guilford,CLOSED,2025-06-28
