case_id,report_month,current_due,current_collected
C00045,2026-06-01,450,367.93
C00045,2026-07-01,450,328.09
C00045,2026-08-01,450,325.42
C00046,2026-06-01,450,357.14
C00046,2026-07-01,450,348.4
C00046,2026-08-01,450,338.61
C00047,2026-06-01,750,637.0
C00047,2026-07-01,750,528.09
C00047,2026-08-01,750,609.99
C00048,2026-06-01,700,594.83
C00048,2026-07-01,700,563.18
C00048,2026-08-01,700,594.85
C00049,2026-06-01,550,510.09
C00049,2026-07-01,550,469.02
C00049,2026-08-01,550,455.29
C00050,2026-06-01,750,662.72
C00050,2026-07-01,750,602.87
C00050,2026-08-01,750,654.79
C00051,2026-06-01,700,532.87
C00051,2026-07-01,700,580.17
C00051,2026-08-01,700,543.88
C00052,2026-06-01,500,410.04
C00052,2026-07-01,500,453.11
C00052,2026-08-01,500,436.65
C00053,2026-06-01,600,483.93
C00053,2026-07-01,600,452.44
C00053,2026-08-01,600,482.37
C00054,2026-06-01,750,608.31
C00054,2026-07-01,750,616.83
C00054,2026-08-01,750,557.41
C00055,2026-06-01,550,413.66
C00055,2026-07-01,550,392.42
C00055,2026-08-01,550,399.25
C00056,2026-06-01,650,488.18
C00056,2026-07-01,650,565.73
C00056,2026-08-01,650,581.69
C00057,2026-06-01,350,312.69
C00057,2026-07-01,350,284.27
C00057,2026-08-01,350,324.49
C00058,2026-06-01,400,355.09
C00058,2026-07-01,400,306.67
C00058,2026-08-01,400,353.69
C00059,2026-06-01,400,319.6
C00059,2026-07-01,400,312.15
C00059,2026-08-01,400,324.83
C00060,2026-06-01,550,489.27
C00060,2026-07-01,550,471.11
C00060,2026-08-01,550,515.04
C00061,2026-06-01,500,393.06
C00061,2026-07-01,500,341.11
C00061,2026-08-01,500,398.76
C00062,2026-06-01,750,567.38
C00062,2026-07-01,750,614.48
C00062,2026-08-01,750,557.89
C00063,2026-06-01,400,337.45
C00063,2026-07-01,400,322.36
C00063,2026-08-01,400,297.77
C00064,2026-06-01,450,347.17
C00064,2026-07-01,450,352.56
C00064,2026-08-01,450,351.73
C00065,2026-06-01,400,359.67
C00065,2026-07-01,400,335.88
C00065,2026-08-01,400,333.21
C00066,2026-06-01,750,602.97
C00066,2026-07-01,750,622.34
C00066,2026-08-01,750,623.37
C00067,2026-06-01,400,341.77
C00067,2026-07-01,400,329.39
C00067,2026-08-01,400,301.75
C00068,2026-06-01,700,657.45
C00068,2026-07-01,700,648.99
C00068,2026-08-01,700,602.45
C00069,2026-06-01,750,556.27
C00069,2026-07-01,750,620.99
C00069,2026-08-01,750,575.48
C00070,2026-06-01,700,538.17
C00070,2026-07-01,700,564.62
C00070,2026-08-01,700,547.93
C00071,2026-06-01,450,371.86
C00071,2026-07-01,450,352.95
C00071,2026-08-01,450,370.67
C00072,2026-06-01,650,490.39
C00072,2026-07-01,650,528.86
C00072,2026-08-01,650,566.11
C00073,2026-06-01,550,499.33
C00073,2026-07-01,550,429.45
C00073,2026-08-01,550,426.64
C00074,2026-06-01,650,495.97
C00074,2026-07-01,650,518.06
C00074,2026-08-01,650,547.61
C00075,2026-06-01,700,529.89
C00075,2026-07-01,700,584.48
C00075,2026-08-01,700,569.89
C00076,2026-06-01,550,520.43
C00076,2026-07-01,550,499.9
C00076,2026-08-01,550,451.71
C00077,2026-06-01,400,327.3
C00077,2026-07-01,400,289.47
C00077,2026-08-01,400,335.29
C00078,2026-06-01,750,588.62
C00078,2026-07-01,750,560.84
C00078,2026-08-01,750,560.63
C00079,2026-06-01,650,551.79
C00079,2026-07-01,650,538.5
C00079,2026-08-01,650,490.14
C00080,2026-06-01,450,361.42
C00080,2026-07-01,450,349.89
C00080,2026-08-01,450,379.03
C00081,2026-06-01,700,591.8
C00081,2026-07-01,700,645.61
C00081,2026-08-01,700,600.53
C00082,2026-06-01,600,519.89
C00082,2026-07-01,600,510.45
C00082,2026-08-01,600,511.41
C00083,2026-06-01,500,421.65
C00083,2026-07-01,500,386.71
C00083,2026-08-01,500,423.74
C00084,2026-06-01,550,489.09
C00084,2026-07-01,550,516.42
C00084,2026-08-01,550,495.86
C00085,2026-06-01,650,534.27
C00085,2026-07-01,650,444.37
C00085,2026-08-01,650,526.37
C00086,2026-06-01,400,351.13
C00086,2026-07-01,400,296.51
C00086,2026-08-01,400,315.55
C00087,2026-06-01,350,276.95
C00087,2026-07-01,350,258.45
C00087,2026-08-01,350,271.17
C00088,2026-06-01,650,537.95
C00088,2026-07-01,650,493.06
C00088,2026-08-01,650,546.83
C00089,2026-06-01,700,594.19
C00089,2026-07-01,700,617.21
C00089,2026-08-01,700,611.81
C00090,2026-06-01,450,356.33
C00090,2026-07-01,450,334.81
C00090,2026-08-01,450,376.11
C00091,2026-06-01,650,506.66
C00091,2026-07-01,650,484.47
C00091,2026-08-01,650,500.16
C00092,2026-06-01,550,441.64
C00092,2026-07-01,550,510.4
C00092,2026-08-01,550,527.06
C00093,2026-06-01,600,440.7
C00093,2026-07-01,600,473.19
C00093,2026-08-01,600,427.98
C00094,2026-06-01,550,476.79
C00094,2026-07-01,550,406.89
C00094,2026-08-01,550,470.14
C00095,2026-06-01,550,458.6
C00095,2026-07-01,550,385.26
C00095,2026-08-01,550,457.79
C00096,2026-06-01,750,624.55
C00096,2026-07-01,750,642.59
C00096,2026-08-01,750,651.61
C00097,2026-06-01,550,455.74
C00097,2026-07-01,550,469.33
C00097,2026-08-01,550,470.13
C00098,2026-06-01,650,545.0
C00098,2026-07-01,650,567.49
C00098,2026-08-01,650,484.14
C00099,2026-06-01,500,387.32
C00099,2026-07-01,500,384.0
C00099,2026-08-01,500,405.57
C00100,2026-06-01,600,567.8
C00100,2026-07-01,600,527.24
C00100,2026-08-01,600,531.53
C00101,2026-06-01,650,451.82
C00101,2026-07-01,650,463.72
C00101,2026-08-01,650,446.69
C00102,2026-06-01,700,550.68
C00102,2026-07-01,700,618.72
C00102,2026-08-01,700,599.15
C00103,2026-06-01,600,447.15
C00103,2026-07-01,600,502.45
C00103,2026-08-01,600,482.61
C00104,2026-06-01,650,576.62
C00104,2026-07-01,650,523.18
C00104,2026-08-01,650,578.26
C00105,2026-06-01,350,273.81
C00105,2026-07-01,350,296.65
C00105,2026-08-01,350,306.8
C00106,2026-06-01,500,411.41
C00106,2026-07-01,500,427.35
C00106,2026-08-01,500,372.08
C00107,2026-06-01,500,392.88
C00107,2026-07-01,500,430.08
C00107,2026-08-01,500,431.68
C00108,2026-06-01,700,641.86
C00108,2026-07-01,700,651.63
C00108,2026-08-01,700,606.06
C00109,2026-06-01,400,332.0
C00109,2026-07-01,400,320.61
C00109,2026-08-01,400,276.29
C00110,2026-06-01,450,338.67
C00110,2026-07-01,450,332.12
C00110,2026-08-01,450,360.18
C00111,2026-06-01,400,289.22
C00111,2026-07-01,400,301.61
C00111,2026-08-01,400,333.33
C00112,2026-06-01,400,332.01
C00112,2026-07-01,400,316.36
C00112,2026-08-01,400,331.41
C00113,2026-06-01,700,624.49
C00113,2026-07-01,700,623.3
C00113,2026-08-01,700,648.97
C00114,2026-06-01,750,653.07
C00114,2026-07-01,750,642.54
C00114,2026-08-01,750,572.95
C00115,2026-06-01,550,466.21
C00115,2026-07-01,550,457.23
C00115,2026-08-01,550,420.26
C00116,2026-06-01,750,715.05
C00116,2026-07-01,750,619.37
C00116,2026-08-01,750,675.19
C00117,2026-06-01,550,404.43
C00117,2026-07-01,550,442.75
C00117,2026-08-01,550,383.26
C00118,2026-06-01,750,606.29
C00118,2026-07-01,750,658.09
C00118,2026-08-01,750,634.73
C00119,2026-06-01,550,415.85
C00119,2026-07-01,550,395.12
C00119,2026-08-01,550,385.07
C00120,2026-06-01,400,328.04
C00120,2026-07-01,400,330.26
C00120,2026-08-01,400,324.22
C00121,2026-06-01,400,335.15
C00121,2026-07-01,400,326.72
C00121,2026-08-01,400,363.08
C00122,2026-06-01,650,549.36
C00122,2026-07-01,650,539.22
C00122,2026-08-01,650,570.42
C00123,2026-06-01,650,487.82
C00123,2026-07-01,650,475.42
C00123,2026-08-01,650,540.16
C00124,2026-06-01,450,421.96
C00124,2026-07-01,450,361.17
C00124,2026-08-01,450,375.61
C00125,2026-06-01,700,569.33
C00125,2026-07-01,700,516.99
C00125,2026-08-01,700,522.32
C00126,2026-06-01,700,525.41
C00126,2026-07-01,700,577.82
C00126,2026-08-01,700,578.01
C00127,2026-06-01,750,579.02
C00127,2026-07-01,750,530.44
C00127,2026-08-01,750,549.87
C00128,2026-06-01,450,386.97
C00128,2026-07-01,450,408.46
C00128,2026-08-01,450,347.25
C00129,2026-06-01,600,499.29
C00129,2026-07-01,600,503.03
C00129,2026-08-01,600,507.85
C00130,2026-06-01,350,267.42
C00130,2026-07-01,350,290.26
C00130,2026-08-01,350,299.17
C00131,2026-06-01,700,602.15
C00131,2026-07-01,700,538.19
C00131,2026-08-01,700,588.68
C00132,2026-06-01,550,506.64
C00132,2026-07-01,550,491.28
C00132,2026-08-01,550,491.82
C00133,2026-06-01,400,329.9
C00133,2026-07-01,400,275.42
C00133,2026-08-01,400,305.26
C00134,2026-06-01,350,281.16
C00134,2026-07-01,350,306.99
C00134,2026-08-01,350,281.74
C00135,2026-06-01,700,509.6
C00135,2026-07-01,700,546.72
C00135,2026-08-01,700,580.38
C00136,2026-06-01,500,381.08
C00136,2026-07-01,500,442.73
C00136,2026-08-01,500,454.45
C00137,2026-06-01,650,514.96
C00137,2026-07-01,650,539.75
C00137,2026-08-01,650,552.1
C00138,2026-06-01,500,399.86
C00138,2026-07-01,500,439.58
C00138,2026-08-01,500,407.9
C00139,2026-06-01,500,425.31
C00139,2026-07-01,500,426.0
C00139,2026-08-01,500,391.44
C00140,2026-06-01,450,428.11
C00140,2026-07-01,450,416.35
C00140,2026-08-01,450,370.89
C00141,2026-06-01,400,306.18
C00141,2026-07-01,400,326.77
C00141,2026-08-01,400,319.76
C00142,2026-06-01,550,472.32
C00142,2026-07-01,550,407.99
C00142,2026-08-01,550,441.47
C00143,2026-06-01,750,616.29
C00143,2026-07-01,750,548.44
C00143,2026-08-01,750,612.39
C00144,2026-06-01,400,320.4
C00144,2026-07-01,400,343.34
C00144,2026-08-01,400,354.36
C00145,2026-06-01,450,398.99
C00145,2026-07-01,450,400.53
C00145,2026-08-01,450,406.99
C00146,2026-06-01,750,571.38
C00146,2026-07-01,750,595.93
C00146,2026-08-01,750,649.3
C00147,2026-06-01,750,595.02
C00147,2026-07-01,750,581.63
C00147,2026-08-01,750,622.25
C00148,2026-06-01,500,442.96
C00148,2026-07-01,500,433.94
C00148,2026-08-01,500,416.43
C00149,2026-06-01,600,464.48
C00149,2026-07-01,600,409.03
C00149,2026-08-01,600,498.11
C00150,2026-06-01,650,515.43
C00150,2026-07-01,650,569.4
C00150,2026-08-01,650,531.63
C00151,2026-06-01,600,506.91
C00151,2026-07-01,600,447.86
C00151,2026-08-01,600,443.09
C00152,2026-06-01,350,305.33
C00152,2026-07-01,350,290.71
C00152,2026-08-01,350,296.52
C00153,2026-06-01,700,616.57
C00153,2026-07-01,700,569.93
C00153,2026-08-01,700,552.03
C00154,2026-06-01,350,297.53
C00154,2026-07-01,350,261.8
C00154,2026-08-01,350,267.05
C00155,2026-06-01,450,373.61
C00155,2026-07-01,450,342.89
C00155,2026-08-01,450,322.46
C00156,2026-06-01,600,504.89
C00156,2026-07-01,600,575.39
C00156,2026-08-01,600,509.4
C00157,2026-06-01,450,326.12
C00157,2026-07-01,450,349.48
C00157,2026-08-01,450,376.52
C00158,2026-06-01,600,501.72
C00158,2026-07-01,600,441.81
C00158,2026-08-01,600,481.95
C00159,2026-06-01,350,265.44
C00159,2026-07-01,350,299.93
C00159,2026-08-01,350,298.25
C00160,2026-06-01,650,573.36
C00160,2026-07-01,650,503.58
C00160,2026-08-01,650,528.55
C00161,2026-06-01,650,527.73
C00161,2026-07-01,650,502.89
C00161,2026-08-01,650,570.93
C00162,2026-06-01,400,331.05
C00162,2026-07-01,400,341.99
C00162,2026-08-01,400,333.91
C00163,2026-06-01,700,540.98
C00163,2026-07-01,700,585.02
C00163,2026-08-01,700,573.96
C00164,2026-06-01,550,475.21
C00164,2026-07-01,550,493.63
C00164,2026-08-01,550,502.33
C00165,2026-06-01,500,340.94
C00165,2026-07-01,500,363.11
C00165,2026-08-01,500,366.0
C00166,2026-06-01,550,407.13
C00166,2026-07-01,550,469.8
C00166,2026-08-01,550,425.39
C00167,2026-06-01,650,479.31
C00167,2026-07-01,650,546.01
C00167,2026-08-01,650,491.33
C00168,2026-06-01,700,591.23
C00168,2026-07-01,700,575.36
C00168,2026-08-01,700,616.06
C00169,2026-06-01,600,491.58
C00169,2026-07-01,600,553.17
C00169,2026-08-01,600,464.43
C00170,2026-06-01,550,408.62
C00170,2026-07-01,550,446.5
C00170,2026-08-01,550,443.72
C00171,2026-06-01,450,321.0
C00171,2026-07-01,450,336.01
C00171,2026-08-01,450,366.2
C00172,2026-06-01,750,675.85
C00172,2026-07-01,750,621.41
C00172,2026-08-01,750,678.41
C00173,2026-06-01,350,243.47
C00173,2026-07-01,350,254.34
C00173,2026-08-01,350,238.09
C00174,2026-06-01,600,457.84
C00174,2026-07-01,600,496.7
C00174,2026-08-01,600,512.99
C00175,2026-06-01,650,472.28
C00175,2026-07-01,650,478.16
C00175,2026-08-01,650,490.46
C00176,2026-06-01,600,522.9
C00176,2026-07-01,600,498.5
C00176,2026-08-01,600,544.52
C00177,2026-06-01,500,406.48
C00177,2026-07-01,500,411.39
C00177,2026-08-01,500,423.57
C00178,2026-06-01,450,389.31
C00178,2026-07-01,450,387.34
C00178,2026-08-01,450,340.64
C00179,2026-06-01,700,500.89
C00179,2026-07-01,700,536.86
C00179,2026-08-01,700,601.03
C00180,2026-06-01,350,323.32
C00180,2026-07-01,350,301.57
C00180,2026-08-01,350,318.92
C00181,2026-06-01,400,308.04
C00181,2026-07-01,400,322.84
C00181,2026-08-01,400,292.64
C00182,2026-06-01,700,534.68
C00182,2026-07-01,700,603.26
C00182,2026-08-01,700,533.0
C00183,2026-06-01,600,473.09
C00183,2026-07-01,600,506.74
C00183,2026-08-01,600,509.07
C00184,2026-06-01,400,309.07
C00184,2026-07-01,400,331.64
C00184,2026-08-01,400,361.98
C00185,2026-06-01,450,354.43
C00185,2026-07-01,450,407.48
C00185,2026-08-01,450,413.29
C00186,2026-06-01,400,317.91
C00186,2026-07-01,400,345.53
C00186,2026-08-01,400,319.3
C00187,2026-06-01,500,390.97
C00187,2026-07-01,500,374.68
C00187,2026-08-01,500,362.52
C00188,2026-06-01,750,622.48
C00188,2026-07-01,750,711.96
C00188,2026-08-01,750,617.61
C00189,2026-06-01,750,542.03
C00189,2026-07-01,750,574.11
C00189,2026-08-01,750,596.19
C00190,2026-06-01,750,554.62
C00190,2026-07-01,750,585.34
C00190,2026-08-01,750,661.67
C00191,2026-06-01,650,455.11
C00191,2026-07-01,650,537.18
C00191,2026-08-01,650,522.76
C00192,2026-06-01,650,507.85
C00192,2026-07-01,650,587.1
C00192,2026-08-01,650,590.26
C00193,2026-06-01,750,670.27
C00193,2026-07-01,750,583.27
C00193,2026-08-01,750,614.43
C00194,2026-06-01,450,371.32
C00194,2026-07-01,450,355.59
C00194,2026-08-01,450,343.16
C00195,2026-06-01,750,578.99
C00195,2026-07-01,750,534.04
C00195,2026-08-01,750,638.2
C00196,2026-06-01,700,570.43
C00196,2026-07-01,700,623.05
C00196,2026-08-01,700,649.2
C00197,2026-06-01,500,376.59
C00197,2026-07-01,500,386.4
C00197,2026-08-01,500,401.87
C00198,2026-06-01,500,398.17
C00198,2026-07-01,500,427.2
C00198,2026-08-01,500,426.9
C00199,2026-06-01,600,441.77
C00199,2026-07-01,600,482.39
C00199,2026-08-01,600,495.7
C00200,2026-06-01,700,530.22
C00200,2026-07-01,700,601.98
C00200,2026-08-01,700,612.53
C00201,2026-06-01,600,490.73
C00201,2026-07-01,600,475.97
C00201,2026-08-01,600,529.21
C00202,2026-06-01,600,494.26
C00202,2026-07-01,600,512.78
C00202,2026-08-01,600,481.43
C00203,2026-06-01,450,374.03
C00203,2026-07-01,450,382.57
C00203,2026-08-01,450,375.74
C00204,2026-06-01,400,343.0
C00204,2026-07-01,400,321.4
C00204,2026-08-01,400,332.52
C00205,2026-06-01,550,434.04
C00205,2026-07-01,550,438.27
C00205,2026-08-01,550,390.0
C00206,2026-06-01,400,338.85
C00206,2026-07-01,400,309.35
C00206,2026-08-01,400,313.87
C00207,2026-06-01,450,334.44
C00207,2026-07-01,450,364.12
C00207,2026-08-01,450,351.86
C00208,2026-06-01,400,351.12
C00208,2026-07-01,400,354.55
C00208,2026-08-01,400,317.96
C00209,2026-06-01,650,582.49
C00209,2026-07-01,650,582.23
C00209,2026-08-01,650,564.2
C00210,2026-06-01,450,350.32
C00210,2026-07-01,450,372.91
C00210,2026-08-01,450,369.21
C00211,2026-06-01,500,429.54
C00211,2026-07-01,500,420.2
C00211,2026-08-01,500,385.06
C00212,2026-06-01,650,576.4
C00212,2026-07-01,650,531.53
C00212,2026-08-01,650,553.18
C00213,2026-06-01,600,412.03
C00213,2026-07-01,600,451.52
C00213,2026-08-01,600,444.83
C00214,2026-06-01,400,327.9
C00214,2026-07-01,400,301.53
C00214,2026-08-01,400,314.18
C00215,2026-06-01,600,513.83
C00215,2026-07-01,600,511.89
C00215,2026-08-01,600,499.94
C00216,2026-06-01,700,574.14
C00216,2026-07-01,700,533.95
C00216,2026-08-01,700,631.68
C00217,2026-06-01,750,581.4
C00217,2026-07-01,750,638.24
C00217,2026-08-01,750,668.17
C00218,2026-06-01,650,535.94
C00218,2026-07-01,650,500.83
C00218,2026-08-01,650,542.88
C00219,2026-06-01,400,337.54
C00219,2026-07-01,400,333.22
C00219,2026-08-01,400,312.79
C00220,2026-06-01,700,647.08
C00220,2026-07-01,700,577.35
C00220,2026-08-01,700,643.05
C00221,2026-06-01,500,415.77
C00221,2026-07-01,500,412.71
C00221,2026-08-01,500,363.56
C00222,2026-06-01,600,456.01
C00222,2026-07-01,600,462.71
C00222,2026-08-01,600,484.95
C00223,2026-06-01,750,607.73
C00223,2026-07-01,750,551.28
C00223,2026-08-01,750,531.72
C00224,2026-06-01,750,656.49
C00224,2026-07-01,750,663.72
C00224,2026-08-01,750,627.0
C00225,2026-06-01,750,666.22
C00225,2026-07-01,750,650.69
C00225,2026-08-01,750,583.72
C00226,2026-06-01,450,352.78
C00226,2026-07-01,450,341.81
C00226,2026-08-01,450,398.84
C00227,2026-06-01,600,434.0
C00227,2026-07-01,600,469.54
C00227,2026-08-01,600,431.24
C00228,2026-06-01,450,366.58
C00228,2026-07-01,450,371.7
C00228,2026-08-01,450,431.6
C00229,2026-06-01,650,444.69
C00229,2026-07-01,650,510.43
C00229,2026-08-01,650,467.55
C00230,2026-06-01,550,459.22
C00230,2026-07-01,550,472.48
C00230,2026-08-01,550,425.07
C00231,2026-06-01,400,331.11
C00231,2026-07-01,400,298.0
C00231,2026-08-01,400,309.82
C00232,2026-06-01,600,453.6
C00232,2026-07-01,600,525.9
C00232,2026-08-01,600,490.67
C00233,2026-06-01,400,371.16
C00233,2026-07-01,400,351.61
C00233,2026-08-01,400,336.1
C00234,2026-06-01,650,541.52
C00234,2026-07-01,650,526.01
C00234,2026-08-01,650,496.13
C00235,2026-06-01,550,433.71
C00235,2026-07-01,550,438.43
C00235,2026-08-01,550,402.18
C00236,2026-06-01,750,633.9
C00236,2026-07-01,750,715.1
C00236,2026-08-01,750,667.04
C00237,2026-06-01,400,324.82
C00237,2026-07-01,400,302.11
C00237,2026-08-01,400,317.66
C00238,2026-06-01,550,470.54
C00238,2026-07-01,550,408.0
C00238,2026-08-01,550,434.34
C00239,2026-06-01,700,516.64
C00239,2026-07-01,700,550.71
C00239,2026-08-01,700,522.86
C00240,2026-06-01,700,559.29
C00240,2026-07-01,700,534.42
C00240,2026-08-01,700,554.15
C00241,2026-06-01,600,556.18
C00241,2026-07-01,600,542.65
C00241,2026-08-01,600,487.49
C00242,2026-06-01,550,426.52
C00242,2026-07-01,550,486.85
C00242,2026-08-01,550,489.56
C00243,2026-06-01,600,513.66
C00243,2026-07-01,600,443.95
C00243,2026-08-01,600,466.44
C00244,2026-06-01,650,583.12
C00244,2026-07-01,650,613.21
C00244,2026-08-01,650,572.1
C00245,2026-06-01,350,246.52
C00245,2026-07-01,350,248.7
C00245,2026-08-01,350,241.61
C00246,2026-06-01,500,405.98
C00246,2026-07-01,500,379.09
C00246,2026-08-01,500,412.08
C00247,2026-06-01,700,577.95
C00247,2026-07-01,700,589.11
C00247,2026-08-01,700,590.66
C00248,2026-06-01,550,412.75
C00248,2026-07-01,550,496.27
C00248,2026-08-01,550,476.24
C00249,2026-06-01,550,424.42
C00249,2026-07-01,550,464.16
C00249,2026-08-01,550,426.84
C00250,2026-06-01,600,464.59
C00250,2026-07-01,600,469.73
C00250,2026-08-01,600,519.01
C00251,2026-06-01,350,289.03
C00251,2026-07-01,350,294.76
C00251,2026-08-01,350,275.79
C00252,2026-06-01,400,348.64
C00252,2026-07-01,400,368.26
C00252,2026-08-01,400,356.72
C00253,2026-06-01,600,486.24
C00253,2026-07-01,600,410.63
C00253,2026-08-01,600,469.23
C00254,2026-06-01,750,557.99
C00254,2026-07-01,750,583.41
C00254,2026-08-01,750,589.55
C00255,2026-06-01,400,303.71
C00255,2026-07-01,400,321.87
C00255,2026-08-01,400,319.12
C00256,2026-06-01,450,358.32
C00256,2026-07-01,450,389.09
C00256,2026-08-01,450,353.13
C00257,2026-06-01,350,287.83
C00257,2026-07-01,350,290.65
C00257,2026-08-01,350,313.59
C00258,2026-06-01,700,553.76
C00258,2026-07-01,700,571.92
C00258,2026-08-01,700,565.08
C00259,2026-06-01,450,331.04
C00259,2026-07-01,450,328.92
C00259,2026-08-01,450,382.05
C00260,2026-06-01,550,442.76
C00260,2026-07-01,550,462.89
C00260,2026-08-01,550,458.71
C00261,2026-06-01,650,479.54
C00261,2026-07-01,650,517.89
C00261,2026-08-01,650,515.19
C00262,2026-06-01,600,460.92
C00262,2026-07-01,600,480.99
C00262,2026-08-01,600,525.05
C00263,2026-06-01,700,517.59
C00263,2026-07-01,700,553.93
C00263,2026-08-01,700,512.59
C00264,2026-06-01,600,474.56
C00264,2026-07-01,600,536.48
C00264,2026-08-01,600,511.28
C00265,2026-06-01,350,310.59
C00265,2026-07-01,350,308.06
C00265,2026-08-01,350,292.85
C00266,2026-06-01,700,607.04
C00266,2026-07-01,700,588.83
C00266,2026-08-01,700,575.28
C00267,2026-06-01,550,403.72
C00267,2026-07-01,550,454.7
C00267,2026-08-01,550,472.39
C00268,2026-06-01,700,607.16
C00268,2026-07-01,700,587.3
C00268,2026-08-01,700,626.5
C00269,2026-06-01,400,275.36
C00269,2026-07-01,400,300.15
C00269,2026-08-01,400,321.6
C00270,2026-06-01,500,378.17
C00270,2026-07-01,500,392.65
C00270,2026-08-01,500,400.63
C00271,2026-06-01,450,363.45
C00271,2026-07-01,450,382.24
C00271,2026-08-01,450,331.14
C00272,2026-06-01,500,406.99
C00272,2026-07-01,500,397.98
C00272,2026-08-01,500,384.96
C00273,2026-06-01,750,642.85
C00273,2026-07-01,750,652.03
C00273,2026-08-01,750,609.34
C00274,2026-06-01,700,556.45
C00274,2026-07-01,700,598.97
