obligation_id,case_id,obligation_month,obligation_type,amount_due
O0000048,C00016,2026-08-01,CURRENT,700
O0000049,C00017,2026-06-01,CURRENT,650
O0000050,C00017,2026-07-01,CURRENT,650
O0000051,C00017,2026-08-01,CURRENT,650
O0000052,C00018,2026-06-01,CURRENT,400
O0000053,C00018,2026-07-01,CURRENT,400
O0000054,C00018,2026-08-01,CURRENT,400
O0000055,C00019,2026-06-01,CURRENT,450
O0000056,C00019,2026-07-01,CURRENT,450
O0000057,C00019,2026-08-01,CURRENT,450
O0000058,C00020,2026-06-01,CURRENT,700
O0000059,C00020,2026-07-01,CURRENT,700
O0000060,C00020,2026-08-01,CURRENT,700
O0000061,C00021,2026-06-01,CURRENT,550
O0000062,C00021,2026-07-01,CURRENT,550
O0000063,C00021,2026-08-01,CURRENT,550
O0000064,C00022,2026-06-01,CURRENT,700
O0000065,C00022,2026-07-01,CURRENT,700
O0000066,C00022,2026-08-01,CURRENT,700
O0000067,C00023,2026-06-01,CURRENT,700
O0000068,C00023,2026-07-01,CURRENT,700
O0000069,C00023,2026-08-01,CURRENT,700
O0000070,C00024,2026-06-01,CURRENT,400
O0000071,C00024,2026-07-01,CURRENT,400
O0000072,C00024,2026-08-01,CURRENT,400
O0000073,C00025,2026-06-01,CURRENT,450
O0000074,C00025,2026-07-01,CURRENT,450
O0000075,C00025,2026-08-01,CURRENT,450
O0000076,C00026,2026-06-01,CURRENT,700
O0000077,C00026,2026-07-01,CURRENT,700
O0000078,C00026,2026-08-01,CURRENT,700
O0000079,C00027,2026-06-01,CURRENT,600
O0000080,C00027,2026-07-01,CURRENT,600
O0000081,C00027,2026-08-01,CURRENT,600
O0000082,C00028,2026-06-01,CURRENT,700
O0000083,C00028,2026-07-01,CURRENT,700
O0000084,C00028,2026-08-01,CURRENT,700
O0000085,C00029,2026-06-01,CURRENT,700
O0000086,C00029,2026-07-01,CURRENT,700
O0000087,C00029,2026-08-01,CURRENT,700
O0000088,C00030,2026-06-01,CURRENT,600
O0000089,C00030,2026-07-01,CURRENT,600
O0000090,C00030,2026-08-01,CURRENT,600
O0000091,C00031,2026-06-01,CURRENT,700
O0000092,C00031,2026-07-01,CURRENT,700
O0000093,C00031,2026-08-01,CURRENT,700
O0000094,C00032,2026-06-01,CURRENT,750
O0000095,C00032,2026-07-01,CURRENT,750
O0000096,C00032,2026-08-01,CURRENT,750
O0000097,C00033,2026-06-01,CURRENT,650
O0000098,C00033,2026-07-01,CURRENT,650
O0000099,C00033,2026-08-01,CURRENT,650
O0000100,C00034,2026-06-01,CURRENT,700
O0000101,C00034,2026-07-01,CURRENT,700
O0000102,C00034,2026-08-01,CURRENT,700
O0000103,C00035,2026-06-01,CURRENT,350
O0000104,C00035,2026-07-01,CURRENT,350
O0000105,C00035,2026-08-01,CURRENT,350
O0000106,C00036,2026-06-01,CURRENT,650
O0000107,C00036,2026-07-01,CURRENT,650
O0000108,C00036,2026-08-01,CURRENT,650
O0000109,C00037,2026-06-01,CURRENT,500
O0000110,C00037,2026-07-01,CURRENT,500
O0000111,C00037,2026-08-01,CURRENT,500
O0000112,C00038,2026-06-01,CURRENT,550
O0000113,C00038,2026-07-01,CURRENT,550
O0000114,C00038,2026-08-01,CURRENT,550
O0000115,C00039,2026-06-01,CURRENT,600
O0000116,C00039,2026-07-01,CURRENT,600
O0000117,C00039,2026-08-01,CURRENT,600
O0000118,C00040,2026-06-01,CURRENT,700
O0000119,C00040,2026-07-01,CURRENT,700
O0000120,C00040,2026-08-01,CURRENT,700
O0000121,C00041,2026-06-01,CURRENT,550
O0000122,C00041,2026-07-01,CURRENT,550
O0000123,C00041,2026-08-01,CURRENT,550
O0000124,C00042,2026-06-01,CURRENT,700
O0000125,C00042,2026-07-01,CURRENT,700
O0000126,C00042,2026-08-01,CURRENT,700
O0000127,C00043,2026-06-01,CURRENT,400
O0000128,C00043,2026-07-01,CURRENT,400
O0000129,C00043,2026-08-01,CURRENT,400
O0000130,C00044,2026-06-01,CURRENT,500
O0000131,C00044,2026-07-01,CURRENT,500
O0000132,C00044,2026-08-01,CURRENT,500
O0000133,C00045,2026-06-01,CURRENT,450
O0000134,C00045,2026-07-01,CURRENT,450
O0000135,C00045,2026-08-01,CURRENT,450
O0000136,C00046,2026-06-01,CURRENT,450
O0000137,C00046,2026-07-01,CURRENT,450
O0000138,C00046,2026-08-01,CURRENT,450
O0000139,C00047,2026-06-01,CURRENT,750
O0000140,C00047,2026-07-01,CURRENT,750
O0000141,C00047,2026-08-01,CURRENT,750
O0000142,C00048,2026-06-01,CURRENT,700
O0000143,C00048,2026-07-01,CURRENT,700
O0000144,C00048,2026-08-01,CURRENT,700
O0000145,C00049,2026-06-01,CURRENT,550
O0000146,C00049,2026-07-01,CURRENT,550
O0000147,C00049,2026-08-01,CURRENT,550
O0000148,C00050,2026-06-01,CURRENT,750
O0000149,C00050,2026-07-01,CURRENT,750
O0000150,C00050,2026-08-01,CURRENT,750
O0000151,C00051,2026-06-01,CURRENT,700
O0000152,C00051,2026-07-01,CURRENT,700
O0000153,C00051,2026-08-01,CURRENT,700
O0000154,C00052,2026-06-01,CURRENT,500
O0000155,C00052,2026-07-01,CURRENT,500
O0000156,C00052,2026-08-01,CURRENT,500
O0000157,C00053,2026-06-01,CURRENT,600
O0000158,C00053,2026-07-01,CURRENT,600
O0000159,C00053,2026-08-01,CURRENT,600
O0000160,C00054,2026-06-01,CURRENT,750
O0000161,C00054,2026-07-01,CURRENT,750
O0000162,C00054,2026-08-01,CURRENT,750
O0000163,C00055,2026-06-01,CURRENT,550
O0000164,C00055,2026-07-01,CURRENT,550
O0000165,C00055,2026-08-01,CURRENT,550
O0000166,C00056,2026-06-01,CURRENT,650
O0000167,C00056,2026-07-01,CURRENT,650
O0000168,C00056,2026-08-01,CURRENT,650
O0000169,C00057,2026-06-01,CURRENT,350
O0000170,C00057,2026-07-01,CURRENT,350
O0000171,C00057,2026-08-01,CURRENT,350
O0000172,C00058,2026-06-01,CURRENT,400
O0000173,C00058,2026-07-01,CURRENT,400
O0000174,C00058,2026-08-01,CURRENT,400
O0000175,C00059,2026-06-01,CURRENT,400
O0000176,C00059,2026-07-01,CURRENT,400
O0000177,C00059,2026-08-01,CURRENT,400
O0000178,C00060,2026-06-01,CURRENT,550
O0000179,C00060,2026-07-01,CURRENT,550
O0000180,C00060,2026-08-01,CURRENT,550
O0000181,C00061,2026-06-01,CURRENT,500
O0000182,C00061,2026-07-01,CURRENT,500
O0000183,C00061,2026-08-01,CURRENT,500
O0000184,C00062,2026-06-01,CURRENT,750
O0000185,C00062,2026-07-01,CURRENT,750
O0000186,C00062,2026-08-01,CURRENT,750
O0000187,C00063,2026-06-01,CURRENT,400
O0000188,C00063,2026-07-01,CURRENT,400
O0000189,C00063,2026-08-01,CURRENT,400
O0000190,C00064,2026-06-01,CURRENT,450
O0000191,C00064,2026-07-01,CURRENT,450
O0000192,C00064,2026-08-01,CURRENT,450
O0000193,C00065,2026-06-01,CURRENT,400
O0000194,C00065,2026-07-01,CURRENT,400
O0000195,C00065,2026-08-01,CURRENT,400
O0000196,C00066,2026-06-01,CURRENT,750
O0000197,C00066,2026-07-01,CURRENT,750
O0000198,C00066,2026-08-01,CURRENT,750
O0000199,C00067,2026-06-01,CURRENT,400
O0000200,C00067,2026-07-01,CURRENT,400
O0000201,C00067,2026-08-01,CURRENT,400
O0000202,C00068,2026-06-01,CURRENT,700
O0000203,C00068,2026-07-01,CURRENT,700
O0000204,C00068,2026-08-01,CURRENT,700
O0000205,C00069,2026-06-01,CURRENT,750
O0000206,C00069,2026-07-01,CURRENT,750
O0000207,C00069,2026-08-01,CURRENT,750
O0000208,C00070,2026-06-01,CURRENT,700
O0000209,C00070,2026-07-01,CURRENT,700
O0000210,C00070,2026-08-01,CURRENT,700
O0000211,C00071,2026-06-01,CURRENT,450
O0000212,C00071,2026-07-01,CURRENT,450
O0000213,C00071,2026-08-01,CURRENT,450
O0000214,C00072,2026-06-01,CURRENT,650
O0000215,C00072,2026-07-01,CURRENT,650
O0000216,C00072,2026-08-01,CURRENT,650
O0000217,C00073,2026-06-01,CURRENT,550
O0000218,C00073,2026-07-01,CURRENT,550
O0000219,C00073,2026-08-01,CURRENT,550
O0000220,C00074,2026-06-01,CURRENT,650
O0000221,C00074,2026-07-01,CURRENT,650
O0000222,C00074,2026-08-01,CURRENT,650
O0000223,C00075,2026-06-01,CURRENT,700
O0000224,C00075,2026-07-01,CURRENT,700
O0000225,C00075,2026-08-01,CURRENT,700
O0000226,C00076,2026-06-01,CURRENT,550
O0000227,C00076,2026-07-01,CURRENT,550
O0000228,C00076,2026-08-01,CURRENT,550
O0000229,C00077,2026-06-01,CURRENT,400
O0000230,C00077,2026-07-01,CURRENT,400
O0000231,C00077,2026-08-01,CURRENT,400
O0000232,C00078,2026-06-01,CURRENT,750
O0000233,C00078,2026-07-01,CURRENT,750
O0000234,C00078,2026-08-01,CURRENT,750
O0000235,C00079,2026-06-01,CURRENT,650
O0000236,C00079,2026-07-01,CURRENT,650
O0000237,C00079,2026-08-01,CURRENT,650
O0000238,C00080,2026-06-01,CURRENT,450
O0000239,C00080,2026-07-01,CURRENT,450
O0000240,C00080,2026-08-01,CURRENT,450
O0000241,C00081,2026-06-01,CURRENT,700
O0000242,C00081,2026-07-01,CURRENT,700
O0000243,C00081,2026-08-01,CURRENT,700
O0000244,C00082,2026-06-01,CURRENT,600
O0000245,C00082,2026-07-01,CURRENT,600
O0000246,C00082,2026-08-01,CURRENT,600
O0000247,C00083,2026-06-01,CURRENT,500
O0000248,C00083,2026-07-01,CURRENT,500
O0000249,C00083,2026-08-01,CURRENT,500
O0000250,C00084,2026-06-01,CURRENT,550
O0000251,C00084,2026-07-01,CURRENT,550
O0000252,C00084,2026-08-01,CURRENT,550
O0000253,C00085,2026-06-01,CURRENT,650
O0000254,C00085,2026-07-01,CURRENT,650
O0000255,C00085,2026-08-01,CURRENT,650
O0000256,C00086,2026-06-01,CURRENT,400
O0000257,C00086,2026-07-01,CURRENT,400
O0000258,C00086,2026-08-01,CURRENT,400
O0000259,C00087,2026-06-01,CURRENT,350
O0000260,C00087,2026-07-01,CURRENT,350
O0000261,C00087,2026-08-01,CURRENT,350
O0000262,C00088,2026-06-01,CURRENT,650
O0000263,C00088,2026-07-01,CURRENT,650
O0000264,C00088,2026-08-01,CURRENT,650
O0000265,C00089,2026-06-01,CURRENT,700
O0000266,C00089,2026-07-01,CURRENT,700
O0000267,C00089,2026-08-01,CURRENT,700
O0000268,C00090,2026-06-01,CURRENT,450
O0000269,C00090,2026-07-01,CURRENT,450
O0000270,C00090,2026-08-01,CURRENT,450
O0000271,C00091,2026-06-01,CURRENT,650
O0000272,C00091,2026-07-01,CURRENT,650
O0000273,C00091,2026-08-01,CURRENT,650
O0000274,C00092,2026-06-01,CURRENT,550
O0000275,C00092,2026-07-01,CURRENT,550
O0000276,C00092,2026-08-01,CURRENT,550
O0000277,C00093,2026-06-01,CURRENT,600
O0000278,C00093,2026-07-01,CURRENT,600
O0000279,C00093,2026-08-01,CURRENT,600
O0000280,C00094,2026-06-01,CURRENT,550
O0000281,C00094,2026-07-01,CURRENT,550
O0000282,C00094,2026-08-01,CURRENT,550
O0000283,C00095,2026-06-01,CURRENT,550
O0000284,C00095,2026-07-01,CURRENT,550
O0000285,C00095,2026-08-01,CURRENT,550
O0000286,C00096,2026-06-01,CURRENT,750
O0000287,C00096,2026-07-01,CURRENT,750
O0000288,C00096,2026-08-01,CURRENT,750
O0000289,C00097,2026-06-01,CURRENT,550
O0000290,C00097,2026-07-01,CURRENT,550
O0000291,C00097,2026-08-01,CURRENT,550
O0000292,C00098,2026-06-01,CURRENT,650
O0000293,C00098,2026-07-01,CURRENT,650
O0000294,C00098,2026-08-01,CURRENT,650
O0000295,C00099,2026-06-01,CURRENT,500
O0000296,C00099,2026-07-01,CURRENT,500
O0000297,C00099,2026-08-01,CURRENT,500
O0000298,C00100,2026-06-01,CURRENT,600
O0000299,C00100,2026-07-01,CURRENT,600
O0000300,C00100,2026-08-01,CURRENT,600
O0000301,C00101,2026-06-01,CURRENT,650
O0000302,C00101,2026-07-01,CURRENT,650
O0000303,C00101,2026-08-01,CURRENT,650
O0000304,C00102,2026-06-01,CURRENT,700
O0000305,C00102,2026-07-01,CURRENT,700
O0000306,C00102,2026-08-01,CURRENT,700
O0000307,C00103,2026-06-01,CURRENT,600
O0000308,C00103,2026-07-01,CURRENT,600
O0000309,C00103,2026-08-01,CURRENT,600
O0000310,C00104,2026-06-01,CURRENT,650
O0000311,C00104,2026-07-01,CURRENT,650
O0000312,C00104,2026-08-01,CURRENT,650
O0000313,C00105,2026-06-01,CURRENT,350
O0000314,C00105,2026-07-01,CURRENT,350
O0000315,C00105,2026-08-01,CURRENT,350
O0000316,C00106,2026-06-01,CURRENT,500
O0000317,C00106,2026-07-01,CURRENT,500
O0000318,C00106,2026-08-01,CURRENT,500
O0000319,C00107,2026-06-01,CURRENT,500
O0000320,C00107,2026-07-01,CURRENT,500
O0000321,C00107,2026-08-01,CURRENT,500
O0000322,C00108,2026-06-01,CURRENT,700
O0000323,C00108,2026-07-01,CURRENT,700
O0000324,C00108,2026-08-01,CURRENT,700
O0000325,C00109,2026-06-01,CURRENT,400
O0000326,C00109,2026-07-01,CURRENT,400
O0000327,C00109,2026-08-01,CURRENT,400
O0000328,C00110,2026-06-01,CURRENT,450
O0000329,C00110,2026-07-01,CURRENT,450
O0000330,C00110,2026-08-01,CURRENT,450
O0000331,C00111,2026-06-01,CURRENT,400
O0000332,C00111,2026-07-01,CURRENT,400
O0000333,C00111,2026-08-01,CURRENT,400
O0000334,C00112,2026-06-01,CURRENT,400
O0000335,C00112,2026-07-01,CURRENT,400
O0000336,C00112,2026-08-01,CURRENT,400
O0000337,C00113,2026-06-01,CURRENT,700
O0000338,C00113,2026-07-01,CURRENT,700
O0000339,C00113,2026-08-01,CURRENT,700
O0000340,C00114,2026-06-01,CURRENT,750
O0000341,C00114,2026-07-01,CURRENT,750
O0000342,C00114,2026-08-01,CURRENT,750
O0000343,C00115,2026-06-01,CURRENT,550
O0000344,C00115,2026-07-01,CURRENT,550
O0000345,C00115,2026-08-01,CURRENT,550
O0000346,C00116,2026-06-01,CURRENT,750
O0000347,C00116,2026-07-01,CURRENT,750
O0000348,C00116,2026-08-01,CURRENT,750
O0000349,C00117,2026-06-01,CURRENT,550
O0000350,C00117,2026-07-01,CURRENT,550
O0000351,C00117,2026-08-01,CURRENT,550
O0000352,C00118,2026-06-01,CURRENT,750
O0000353,C00118,2026-07-01,CURRENT,750
O0000354,C00118,2026-08-01,CURRENT,750
O0000355,C00119,2026-06-01,CURRENT,550
O0000356,C00119,2026-07-01,CURRENT,550
O0000357,C00119,2026-08-01,CURRENT,550
O0000358,C00120,2026-06-01,CURRENT,400
O0000359,C00120,2026-07-01,CURRENT,400
O0000360,C00120,2026-08-01,CURRENT,400
O0000361,C00121,2026-06-01,CURRENT,400
O0000362,C00121,2026-07-01,CURRENT,400
O0000363,C00121,2026-08-01,CURRENT,400
O0000364,C00122,2026-06-01,CURRENT,650
O0000365,C00122,2026-07-01,CURRENT,650
O0000366,C00122,2026-08-01,CURRENT,650
O0000367,C00123,2026-06-01,CURRENT,650
O0000368,C00123,2026-07-01,CURRENT,650
O0000369,C00123,2026-08-01,CURRENT,650
O0000370,C00124,2026-06-01,CURRENT,450
O0000371,C00124,2026-07-01,CURRENT,450
O0000372,C00124,2026-08-01,CURRENT,450
O0000373,C00125,2026-06-01,CURRENT,700
O0000374,C00125,2026-07-01,CURRENT,700
O0000375,C00125,2026-08-01,CURRENT,700
O0000376,C00126,2026-06-01,CURRENT,700
O0000377,C00126,2026-07-01,CURRENT,700
O0000378,C00126,2026-08-01,CURRENT,700
O0000379,C00127,2026-06-01,CURRENT,750
O0000380,C00127,2026-07-01,CURRENT,750
O0000381,C00127,2026-08-01,CURRENT,750
O0000382,C00128,2026-06-01,CURRENT,450
O0000383,C00128,2026-07-01,CURRENT,450
O0000384,C00128,2026-08-01,CURRENT,450
O0000385,C00129,2026-06-01,CURRENT,600
O0000386,C00129,2026-07-01,CURRENT,600
O0000387,C00129,2026-08-01,CURRENT,600
O0000388,C00130,2026-06-01,CURRENT,350
O0000389,C00130,2026-07-01,CURRENT,350
O0000390,C00130,2026-08-01,CURRENT,350
O0000391,C00131,2026-06-01,CURRENT,700
O0000392,C00131,2026-07-01,CURRENT,700
O0000393,C00131,2026-08-01,CURRENT,700
O0000394,C00132,2026-06-01,CURRENT,550
O0000395,C00132,2026-07-01,CURRENT,550
O0000396,C00132,2026-08-01,CURRENT,550
O0000397,C00133,2026-06-01,CURRENT,400
O0000398,C00133,2026-07-01,CURRENT,400
O0000399,C00133,2026-08-01,CURRENT,400
O0000400,C00134,2026-06-01,CURRENT,350
O0000401,C00134,2026-07-01,CURRENT,350
O0000402,C00134,2026-08-01,CURRENT,350
O0000403,C00135,2026-06-01,CURRENT,700
O0000404,C00135,2026-07-01,CURRENT,700
O0000405,C00135,2026-08-01,CURRENT,700
O0000406,C00136,2026-06-01,CURRENT,500
O0000407,C00136,2026-07-01,CURRENT,500
O0000408,C00136,2026-08-01,CURRENT,500
O0000409,C00137,2026-06-01,CURRENT,650
O0000410,C00137,2026-07-01,CURRENT,650
O0000411,C00137,2026-08-01,CURRENT,650
O0000412,C00138,2026-06-01,CURRENT,500
O0000413,C00138,2026-07-01,CURRENT,500
O0000414,C00138,2026-08-01,CURRENT,500
O0000415,C00139,2026-06-01,CURRENT,500
O0000416,C00139,2026-07-01,CURRENT,500
O0000417,C00139,2026-08-01,CURRENT,500
O0000418,C00140,2026-06-01,CURRENT,450
O0000419,C00140,2026-07-01,CURRENT,450
O0000420,C00140,2026-08-01,CURRENT,450
O0000421,C00141,2026-06-01,CURRENT,400
O0000422,C00141,2026-07-01,CURRENT,400
O0000423,C00141,2026-08-01,CURRENT,400
O0000424,C00142,2026-06-01,CURRENT,550
O0000425,C00142,2026-07-01,CURRENT,550
O0000426,C00142,2026-08-01,CURRENT,550
O0000427,C00143,2026-06-01,CURRENT,750
O0000428,C00143,2026-07-01,CURRENT,750
O0000429,C00143,2026-08-01,CURRENT,750
O0000430,C00144,2026-06-01,CURRENT,400
O0000431,C00144,2026-07-01,CURRENT,400
O0000432,C00144,2026-08-01,CURRENT,400
O0000433,C00145,2026-06-01,CURRENT,450
O0000434,C00145,2026-07-01,CURRENT,450
O0000435,C00145,2026-08-01,CURRENT,450
O0000436,C00146,2026-06-01,CURRENT,750
O0000437,C00146,2026-07-01,CURRENT,750
O0000438,C00146,2026-08-01,CURRENT,750
O0000439,C00147,2026-06-01,CURRENT,750
O0000440,C00147,2026-07-01,CURRENT,750
O0000441,C00147,2026-08-01,CURRENT,750
O0000442,C00148,2026-06-01,CURRENT,500
O0000443,C00148,2026-07-01,CURRENT,500
O0000444,C00148,2026-08-01,CURRENT,500
O0000445,C00149,2026-06-01,CURRENT,600
O0000446,C00149,2026-07-01,CURRENT,600
O0000447,C00149,2026-08-01,CURRENT,600
O0000448,C00150,2026-06-01,CURRENT,650
O0000449,C00150,2026-07-01,CURRENT,650
O0000450,C00150,2026-08-01,CURRENT,650
O0000451,C00151,2026-06-01,CURRENT,600
O0000452,C00151,2026-07-01,CURRENT,600
O0000453,C00151,2026-08-01,CURRENT,600
O0000454,C00152,2026-06-01,CURRENT,350
O0000455,C00152,2026-07-01,CURRENT,350
O0000456,C00152,2026-08-01,CURRENT,350
O0000457,C00153,2026-06-01,CURRENT,700
O0000458,C00153,2026-07-01,CURRENT,700
O0000459,C00153,2026-08-01,CURRENT,700
O0000460,C00154,2026-06-01,CURRENT,350
O0000461,C00154,2026-07-01,CURRENT,350
O0000462,C00154,2026-08-01,CURRENT,350
O0000463,C00155,2026-06-01,CURRENT,450
O0000464,C00155,2026-07-01,CURRENT,450
O0000465,C00155,2026-08-01,CURRENT,450
O0000466,C00156,2026-06-01,CURRENT,600
O0000467,C00156,2026-07-01,CURRENT,600
O0000468,C00156,2026-08-01,CURRENT,600
O0000469,C00157,2026-06-01,CURRENT,450
O0000470,C00157,2026-07-01,CURRENT,450
O0000471,C00157,2026-08-01,CURRENT,450
O0000472,C00158,2026-06-01,CURRENT,600
O0000473,C00158,2026-07-01,CURRENT,600
O0000474,C00158,2026-08-01,CURRENT,600
O0000475,C00159,2026-06-01,CURRENT,350
O0000476,C00159,2026-07-01,CURRENT,350
O0000477,C00159,2026-08-01,CURRENT,350
O0000478,C00160,2026-06-01,CURRENT,650
O0000479,C00160,2026-07-01,CURRENT,650
O0000480,C00160,2026-08-01,CURRENT,650
O0000481,C00161,2026-06-01,CURRENT,650
O0000482,C00161,2026-07-01,CURRENT,650
O0000483,C00161,2026-08-01,CURRENT,650
O0000484,C00162,2026-06-01,CURRENT,400
O0000485,C00162,2026-07-01,CURRENT,400
O0000486,C00162,2026-08-01,CURRENT,400
O0000487,C00163,2026-06-01,CURRENT,700
O0000488,C00163,2026-07-01,CURRENT,700
O0000489,C00163,2026-08-01,CURRENT,700
O0000490,C00164,2026-06-01,CURRENT,550
O0000491,C00164,2026-07-01,CURRENT,550
O0000492,C00164,2026-08-01,CURRENT,550
O0000493,C00165,2026-06-01,CURRENT,500
O0000494,C00165,2026-07-01,CURRENT,500
O0000495,C00165,2026-08-01,CURRENT,500
O0000496,C00166,2026-06-01,CURRENT,550
O0000497,C00166,2026-07-01,CURRENT,550
O0000498,C00166,2026-08-01,CURRENT,550
O0000499,C00167,2026-06-01,CURRENT,650
O0000500,C00167,2026-07-01,CURRENT,650
O0000501,C00167,2026-08-01,CURRENT,650
O0000502,C00168,2026-06-01,CURRENT,700
O0000503,C00168,2026-07-01,CURRENT,700
O0000504,C00168,2026-08-01,CURRENT,700
O0000505,C00169,2026-06-01,CURRENT,600
O0000506,C00169,2026-07-01,CURRENT,600
O0000507,C00169,2026-08-01,CURRENT,600
O0000508,C00170,2026-06-01,CURRENT,550
O0000509,C00170,2026-07-01,CURRENT,550
O0000510,C00170,2026-08-01,CURRENT,550
O0000511,C00171,2026-06-01,CURRENT,450
O0000512,C00171,2026-07-01,CURRENT,450
O0000513,C00171,2026-08-01,CURRENT,450
O0000514,C00172,2026-06-01,CURRENT,750
O0000515,C00172,2026-07-01,CURRENT,750
O0000516,C00172,2026-08-01,CURRENT,750
O0000517,C00173,2026-06-01,CURRENT,350
O0000518,C00173,2026-07-01,CURRENT,350
O0000519,C00173,2026-08-01,CURRENT,350
O0000520,C00174,2026-06-01,CURRENT,600
O0000521,C00174,2026-07-01,CURRENT,600
O0000522,C00174,2026-08-01,CURRENT,600
O0000523,C00175,2026-06-01,CURRENT,650
O0000524,C00175,2026-07-01,CURRENT,650
O0000525,C00175,2026-08-01,CURRENT,650
O0000526,C00176,2026-06-01,CURRENT,600
O0000527,C00176,2026-07-01,CURRENT,600
O0000528,C00176,2026-08-01,CURRENT,600
O0000529,C00177,2026-06-01,CURRENT,500
O0000530,C00177,2026-07-01,CURRENT,500
O0000531,C00177,2026-08-01,CURRENT,500
O0000532,C00178,2026-06-01,CURRENT,450
O0000533,C00178,2026-07-01,CURRENT,450
O0000534,C00178,2026-08-01,CURRENT,450
O0000535,C00179,2026-06-01,CURRENT,700
O0000536,C00179,2026-07-01,CURRENT,700
O0000537,C00179,2026-08-01,CURRENT,700
O0000538,C00180,2026-06-01,CURRENT,350
O0000539,C00180,2026-07-01,CURRENT,350
O0000540,C00180,2026-08-01,CURRENT,350
O0000541,C00181,2026-06-01,CURRENT,400
O0000542,C00181,2026-07-01,CURRENT,400
O0000543,C00181,2026-08-01,CURRENT,400
O0000544,C00182,2026-06-01,CURRENT,700
O0000545,C00182,2026-07-01,CURRENT,700
O0000546,C00182,2026-08-01,CURRENT,700
O0000547,C00183,2026-06-01,CURRENT,600
O0000548,C00183,2026-07-01,CURRENT,600
O0000549,C00183,2026-08-01,CURRENT,600
O0000550,C00184,2026-06-01,CURRENT,400
O0000551,C00184,2026-07-01,CURRENT,400
O0000552,C00184,2026-08-01,CURRENT,400
O0000553,C00185,2026-06-01,CURRENT,450
O0000554,C00185,2026-07-01,CURRENT,450
O0000555,C00185,2026-08-01,CURRENT,450
O0000556,C00186,2026-06-01,CURRENT,400
O0000557,C00186,2026-07-01,CURRENT,400
O0000558,C00186,2026-08-01,CURRENT,400
O0000559,C00187,2026-06-01,CURRENT,500
O0000560,C00187,2026-07-01,CURRENT,500
O0000561,C00187,2026-08-01,CURRENT,500
O0000562,C00188,2026-06-01,CURRENT,750
O0000563,C00188,2026-07-01,CURRENT,750
O0000564,C00188,2026-08-01,CURRENT,750
O0000565,C00189,2026-06-01,CURRENT,750
O0000566,C00189,2026-07-01,CURRENT,750
O0000567,C00189,2026-08-01,CURRENT,750
O0000568,C00190,2026-06-01,CURRENT,750
O0000569,C00190,2026-07-01,CURRENT,750
O0000570,C00190,2026-08-01,CURRENT,750
O0000571,C00191,2026-06-01,CURRENT,650
O0000572,C00191,2026-07-01,CURRENT,650
O0000573,C00191,2026-08-01,CURRENT,650
O0000574,C00192,2026-06-01,CURRENT,650
O0000575,C00192,2026-07-01,CURRENT,650
O0000576,C00192,2026-08-01,CURRENT,650
O0000577,C00193,2026-06-01,CURRENT,750
O0000578,C00193,2026-07-01,CURRENT,750
O0000579,C00193,2026-08-01,CURRENT,750
O0000580,C00194,2026-06-01,CURRENT,450
O0000581,C00194,2026-07-01,CURRENT,450
